text,class
Wszelka korespondencja wysyłana przez Pożyczkodawcę na adres zamieszkania podany w umowie oraz na e-mail zostaje uznana za skutecznie doręczoną. Zmiana adresu e-mail oraz adresu zamieszkania musi być dostarczona do Pożyczkodawcy osobiście,KLAUZULA_ABUZYWNA
W przypadku opóźnień Pożyczkobiorcy w spłacie pożyczki Pożyczkodawca ma prawo raz dziennie telefonicznie upomnieć Pożyczkobiorcę do spłaty pożyczki. Za każdy telefon do Pożyczkobiorcy Pożyczkodawca nalicza opłatę w wysokości 100,KLAUZULA_ABUZYWNA
W przypadku opóźnień Pożyczkobiorcy w spłacie pożyczki Pożyczkodawca ma prawo wysłać jedno wezwanie dziennie do spłaty pożyczki za pomocą poczty tradycyjnej oraz mailowej na adresy podane w umowie. Za każde wezwanie Pożyczkodawca,KLAUZULA_ABUZYWNA
Pożyczkobiorca zleca firmie Narodowy Fundusz Pożyczkowy Sp. z o.o. poręczenie swojej pożyczki i zobowiązuje się zapłacić na rzecz Pożyczkodawcy kwotę 1000 zł (słownie: jeden tysiąc złotych) miesięcznie za każdy miesiąc trwania,KLAUZULA_ABUZYWNA
Od niespłaconej w terminie raty Pożyczkobiorca zapłaci Pożyczkodawcy opłaty karne w wysokości 200 złotych w stosunku dziennym,KLAUZULA_ABUZYWNA
"Pożyczkobiorca ma prawo wybrać inny sposób przechowania weksla, jednakże z zachowaniem pełnego bezpieczeństwa weksla oraz dostępu przez Pożyczkodawcę do weksla w dowolnym momencie. Pożyczkodawca wymaga wówczas wykupienia przez",KLAUZULA_ABUZYWNA
W przypadku braku spłaty pożyczki w terminie Pożyczkodawca ma prawo wykorzystać weksel wysyłając go do Sądu z żądaniem zapłaty pełnej sumy z weksla; a także ma prawo sprzedać lub przekazać weksel i prawa z niego wynikające w,KLAUZULA_ABUZYWNA
Zabezpieczeniem spłaty pożyczki będzie podpisanie przez Pożyczkobiorcę weksla na dziesięciokrotność kwoty pożyczki. W przypadku terminowej spłaty pożyczki weksel będzie zwrócony Pożyczkobiorcy lub zniszczony przez Pożyczkodawcę,KLAUZULA_ABUZYWNA
"Termin zwrotu pożyczki strony ustalają na 01 września 2012 r. , przy czym okres ten może zostać przedłużony maksymalnie do 1 września 2014 r.",KLAUZULA_ABUZYWNA
"Okres trwania pożyczki wynosi 1 miesiąc, przy czym może zostać przedłużana co miesiąc do 24 miesięcy",KLAUZULA_ABUZYWNA
"Nabywca oświadcza, że znany jest mu fakt zawarcia umowy określającej sposób zarządu nieruchomością wspólną jako zarząd powierzony i powierzającej ten zarząd . Stosownie do treści art 18 ust. 2 ustawy o własności lokali",KLAUZULA_ABUZYWNA
"Obydwie Strony zachowują w tajemnicy warunki ekonomiczne niniejszej umowy, chyba że ujawnienie tych informacji będzie wymagane na podstawie przepisów lub na żądanie właściwych władz oraz z zastrzeżeniem możliwości ujawnienia tych",KLAUZULA_ABUZYWNA
"W przypadku dokonania przez Nabywcę lub osobę trzecią jakichkolwiek prac dodatkowych, zamiennych w Lokalu, Nabywca traci uprawnienia z rękojmi w zakresie elementów objętych dokonanymi pracami, jak i wywołanych nimi następstw i modyfikacji",KLAUZULA_ABUZYWNA
"Zakres prac wykończeniowych nie powinien naruszać konstrukcji Budynku oraz części wspólnych, a także zmieniać sposobu użytkowania Lokalu, nie powinien również naruszać instalacji i urządzeń z nimi związanych, a w szczególności",KLAUZULA_ABUZYWNA
Nabywca zobowiązuje się do indywidualnego wykończenia Lokalu. Za szkody powstałe w toku indywidualnych prac wykończeniowych odpowiada Kupujący,KLAUZULA_ABUZYWNA
"Do dnia faktycznego przekazania Lokalu wyznaczonego na zasadach określonych w § 9 i § 10 jako Termin Przekazania Lokalu, przy czym nie później niż do dnia 31 grudnia 2016 roku Kupującemu przysługuje prawo odstąpienia od Umowy bez podania",KLAUZULA_ABUZYWNA
Ponadto Nabywca w Umowie Przeniesienia udzieli on Deweloperowi oraz każdoczesnemu zarządcy Wspólnoty Mieszkaniowej budynków w ramach inwestycji Osiedle Grzegórzecka 77 w Krakowie - każdemu z pełnomocników z osobna -,KLAUZULA_ABUZYWNA
"Ponadto Nabywca przyjmuje do wiadomości możliwość zabudowania przez Dewelopera lub inny podmiot przez niego wskazany działek o obecnych numerach ewidencyjnych nr: 177/6, 177/8, 174/4, 177/4, położonych w obrębie 17 Śródmieście lub",KLAUZULA_ABUZYWNA
"Ponadto Nabywca przyjmuje do wiadomości, że Nieruchomość oraz garaż wielostanowiskowy mogą zostać obciążone ograniczonymi prawami rzeczowymi, a w szczególności bezpłatnymi i bezterminowymi służebnościami przesyłu lub prawami",KLAUZULA_ABUZYWNA
Nabywca zobowiązuje się do ponoszenia proporcjonalnego (do pow. Użytkowej Lokalu) przypadających na każdy Budynek kosztów związanych z nieruchomością nie będącą Nieruchomością Wspólną w części przypadającej na IV etap,KLAUZULA_ABUZYWNA
"Nabywca oświadcza, że udziela (1) (2) - członkom Zarządu spółki Lc Corp Invest XV spółka z ograniczoną odpowiedzialnością z siedzibą we Wrocławiu (Regon: 021394729) oraz (3) każdoczesnemu Zarządcy Wspólnoty",KLAUZULA_ABUZYWNA
Nabywca zobowiązuję się do przejęcia praw i obowiązków Dewelopera wynikających z odpowiednich umów zawartych przez Dewelopera z dostawcami mediów,KLAUZULA_ABUZYWNA
"Ponadto Nabywca przyjmuje do wiadomości, że dla zapewnienia prawidłowego funkcjonowania całego Osiedla Grzegórzecka 77, istnieje konieczność wykonywania przez Wspólnotę Mieszkaniową i jej członków wszelkich zobowiązań wynikających",KLAUZULA_ABUZYWNA
"Ponadto Nabywca przyjmuje do wiadomości, że dla zapewnienia prawidłowego funkcjonowania całego Osiedla Grzegórzecka 77, Nieruchomość może zostać nieodpłatnie udostępniona dostawcom mediów oraz podmiotom działającym na ich zlecenie,",KLAUZULA_ABUZYWNA
"Ponadto Nabywca przyjmuje do wiadomości, że wygląd elewacji Budynku objęty jest ochroną wynikającą z przepisów prawa autorskiego i zobowiązuje się nie podejmować bez zgody Dewelopera oraz autora projektu architektonicznego żadnych",KLAUZULA_ABUZYWNA
"Ponadto Nabywca przyjmuje do wiadomości możliwość zabudowania przez Dewelopera lub inny podmiot przez niego wskazany działek o obecnych numerach ewidencyjnych nr: 397/1, 397/2 i 397/3 położonych w obrębie 17, jednostka ewidencyjna",KLAUZULA_ABUZYWNA
"Nabywca zobowiązuje się do ponoszenia proporcjonalnego (do pow. użytkowej) kosztów związanych z nieruchomością nie będącą Nieruchomością Wspólną w części przypadającej na Budynek 77 A, tj. koszty oświetlenia ulicznego oraz",KLAUZULA_ABUZYWNA
Właściciele nieruchomości lokalowej objętej tym aktem ponoszą koszty zarządu nieruchomości wspólnej i jej utrzymania proporcjonalnie do nabytego udziału w tej nieruchomości od dnia wydania Lokalu,KLAUZULA_ABUZYWNA
"Strony oświadczają, że wobec zawarcia niniejszej umowy - przewidziane w Umowie Deweloperskiej prawa odstąpienia wygasają, a także nie przysługują im względem siebie żadne roszczenia o zapłatę odsetek za opóźnienie w płatnościach",KLAUZULA_ABUZYWNA
